Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1503     0.00     0.00  boost::tuples::detail::cnull()
  0.00      0.00     0.00     1064     0.00     0.00  std::vector<boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex, std::allocator<boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex> >::size() const
  0.00      0.00     0.00      618     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::detail::stored_edge_property<unsigned long, boost::no_property> >::_M_ptr()
  0.00      0.00     0.00      618     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::detail::stored_edge_property<unsigned long, boost::no_property> >::_M_addr()
  0.00      0.00     0.00      618     0.00     0.00  std::_List_node<boost::detail::stored_edge_property<unsigned long, boost::no_property> >::_M_valptr()
  0.00      0.00     0.00      603     0.00     0.00  mpl_::bool_<true> const& boost::integral_constant<bool, true>::dereference<mpl_::bool_<true> const>(mpl_::bool_<true> const*)
  0.00      0.00     0.00      603     0.00     0.00  boost::integral_constant<bool, true>::operator mpl_::bool_<true> const&() const
  0.00      0.00     0.00      536     0.00     0.00  boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex* std::__addressof<boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex>(boost::detail::adj_list_gen<boost::adjacency_list<boost::listS, boost::vecS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>, boost::vecS, boost::listS, boost::directedS, boost::no_property, boost::no_property, boost::no_property, boost::listS>::config::stored_vertex&)
  0.00      0.00     0.00      514     0.00     0.00  boost::range_detail::integer_iterator<unsigned long>::integer_iterator(unsigned long)
  0.00      0.00     0.00      512     0.00     0.00  boost::iterators::iterator_adaptor<boost::detail::out_edge_iter<std::_List_iterator<boost::detail::stored_edge_property<unsigned long, boost::no_property> >, unsigned long, boost::detail::edge_desc_impl<boost::directed_tag, unsigned long>, long>, std::_List_iterator<boost::detail::stored_edge_property<unsigned long, boost::no_property> >, boost::detail::edge_desc_impl<boost::directed_tag, unsigned long>, boost::iterators::use_default, boost::detail::edge_desc_impl<boost::directed_tag, unsigned long>, long>::base() const
