algo,v,e,mem
nuutila,10000,4999,602916
nuutila,1000,3991,266622
nuutila,1000,58336,1922407
nuutila,1000,5984,341239
nuutila,1000,970,143449
nuutila,1000,9958,473229
nuutila,250,110,90685
nuutila,250,11357,455092
nuutila,250,20629,795436
nuutila,250,28183,883902
nuutila,250,431,99462
nuutila,5000,2999,351732
nuutila,5000,34979,1577490
nuutila,5000,49957,2058692
nuutila,5000,5997,439596
nuutila,5000,9996,632859
nuutila,500,23782,854077
nuutila,500,2491,188498
nuutila,500,409,108776
nuutila,500,790,123053
nuutila,750,1000,134239
nuutila,750,1999,179926
nuutila,750,400,118703
nuutila,750,6962,356441
nuutila,750,91796,2929163
nuutila,8000,12030,776653
nuutila,8000,20023,1162150
nuutila,8000,39982,1911229
nuutila,8000,4031,498028
nuutila,8000,59987,2600306
nuutila,8000,7999,604412
pearce,10000,4999,561548
pearce,1000,3991,258254
pearce,1000,58336,1917831
pearce,1000,5984,329399
pearce,1000,970,139273
pearce,1000,9958,465101
pearce,250,110,89605
pearce,250,11357,452812
pearce,250,20629,792948
pearce,250,28183,881414
pearce,250,431,98870
pearce,5000,2999,335246
pearce,5000,34979,1548858
pearce,5000,49957,2027356
pearce,5000,5997,418628
pearce,5000,9996,610291
pearce,500,23782,849165
pearce,500,2491,185042
pearce,500,409,106664
pearce,500,790,120397
pearce,750,1000,130983
pearce,750,1999,174382
pearce,750,400,115559
pearce,750,6962,350721
pearce,750,91796,2922115
pearce,8000,12030,741765
pearce,8000,20023,1105822
pearce,8000,39982,1869973
pearce,8000,4031,464916
pearce,8000,59987,2564090
pearce,8000,7999,571300
tarjan,10000,4999,681612
tarjan,1000,3991,308238
tarjan,1000,58336,1974167
tarjan,1000,5984,388215
tarjan,1000,970,151961
tarjan,1000,9958,526221
tarjan,250,110,93101
tarjan,250,11357,464804
tarjan,250,20629,804764
tarjan,250,28183,885550
tarjan,250,431,104342
tarjan,5000,2999,396230
tarjan,5000,34979,1835354
tarjan,5000,49957,2340812
tarjan,5000,5997,485940
tarjan,5000,9996,748723
tarjan,500,23782,873965
tarjan,500,2491,211410
tarjan,500,409,113224
tarjan,500,790,131869
tarjan,750,1000,143855
tarjan,750,1999,204278
tarjan,750,400,124991
tarjan,750,6962,397433
tarjan,750,91796,2949675
tarjan,8000,12030,904613
tarjan,8000,20023,1394158
tarjan,8000,39982,2292373
tarjan,8000,4031,560980
tarjan,8000,59987,3037642
tarjan,8000,7999,667364
