vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
0,0.002,0,3e-06,1e-06,1e-06,0,1
0,0.005,0,3e-06,1e-06,1e-06,0,1
0,0.01,0,3e-06,1e-06,2e-06,0,1
100,0.002,20,0.009948,0.019209,0.009969,100,1
100,0.005,49,0.01506,0.016781,0.018084,100,1
100,0.01,99,0.026966,0.026077,0.026692,96,1
200,0.002,80,0.054092,0.05155,0.05118,200,1
200,0.005,198,0.09438,0.105848,0.109468,199,1
200,0.01,398,0.190646,0.191364,0.190555,85,1
300,0.002,180,0.180066,0.161948,0.154158,299,1
300,0.005,449,0.334053,0.343078,0.344263,213,1
300,0.01,895,0.615016,0.576181,0.602895,30,1
400,0.002,320,0.366101,0.366928,0.347185,399,1
400,0.005,799,0.746626,0.744209,0.716679,154,1
400,0.01,1596,1.385046,1.348044,1.334276,19,1
500,0.002,499,0.640868,0.645829,0.616799,451,1
500,0.005,1248,1.399742,1.357257,1.353042,99,1
500,0.01,2491,2.591072,2.545803,2.492419,10,1
600,0.002,719,1.136887,1.081734,1.151671,507,1
600,0.005,1794,2.415118,2.355271,2.386837,59,1
600,0.01,3583,4.447467,4.413173,4.401452,3,1
700,0.002,980,1.669171,1.618308,1.631294,493,1
700,0.005,2442,3.593611,3.602178,3.660995,47,1
700,0.01,4873,6.790256,6.727701,6.603568,3,1
800,0.002,1279,2.407467,2.41927,2.386891,502,1
800,0.005,3190,5.308654,5.347424,5.354145,36,1
800,0.01,6359,10.052427,9.803864,9.823284,1,1
900,0.002,1619,3.362093,3.342253,3.320127,392,1
900,0.005,4041,7.594855,7.43291,7.569464,21,1
900,0.01,8051,14.117909,13.82116,14.211219,1,1
1000,0.002,1995,4.475469,4.528366,4.456679,369,1
1000,0.005,4979,10.212258,10.06181,10.10448,19,1
1000,0.01,9947,19.326831,19.280447,19.131567,1,1
0,0.002,0,8e-06,5e-06,5e-06,0,1
0,0.005,0,8e-06,4e-06,5e-06,0,1
0,0.01,0,8e-06,4e-06,4e-06,0,1
100,0.002,20,0.03191,0.032122,0.029785,100,1
100,0.005,49,0.052811,0.028604,0.01899,100,1
100,0.01,99,0.027399,0.027655,0.027227,96,1
200,0.002,80,0.074866,0.06925,0.059231,200,1
200,0.005,198,0.105761,0.105007,0.102238,199,1
200,0.01,398,0.187357,0.188907,0.189095,85,1
300,0.002,180,0.179485,0.180294,0.176953,299,1
300,0.005,449,0.33986,0.306022,0.337705,213,1
300,0.01,895,0.610095,0.598476,0.566406,30,1
400,0.002,320,0.370964,0.366716,0.36327,399,1
400,0.005,799,0.714074,0.748312,0.74257,154,1
400,0.01,1596,1.373713,1.346327,1.379013,19,1
500,0.002,499,0.627575,0.651177,0.658401,451,1
500,0.005,1248,1.515729,1.484772,1.470802,99,1
500,0.01,2491,2.801265,2.730709,2.584977,10,1
600,0.002,719,1.146471,1.076952,1.121863,507,1
600,0.005,1794,2.367181,2.371098,2.384385,59,1
600,0.01,3583,4.448712,4.348252,4.364396,3,1
700,0.002,980,1.673635,1.725404,1.669623,493,1
700,0.005,2442,3.713133,3.697637,3.648062,47,1
700,0.01,4873,7.001485,6.820758,6.882564,3,1
800,0.002,1279,2.442338,2.42123,2.460355,502,1
800,0.005,3190,5.419659,5.428262,5.419598,36,1
800,0.01,6359,10.255109,10.016246,10.075501,1,1
900,0.002,1619,3.444009,3.425194,3.441612,392,1
900,0.005,4041,7.632056,7.581582,7.603797,21,1
900,0.01,8051,14.382543,14.223153,14.253383,1,1
1000,0.002,1995,4.44199,4.523049,4.462396,369,1
1000,0.005,4979,10.131412,10.173885,10.21205,19,1
1000,0.01,9947,19.397806,18.887828,19.020131,1,1
0,0.001,0,1e-05,6e-06,5e-06,0,1
100,0.001,10,0.033627,0.032509,0.031236,100,1
200,0.001,40,0.07475,0.037194,0.037479,200,1
300,0.001,90,0.105056,0.102777,0.113361,300,1
400,0.001,160,0.239281,0.237249,0.236479,399,1
500,0.001,250,0.406054,0.394694,0.365852,500,1
600,0.001,360,0.695471,0.698362,0.664899,599,1
700,0.001,490,1.044969,0.983187,1.032613,699,1
800,0.001,640,1.389499,1.34259,1.439719,799,1
900,0.001,810,1.929915,1.905404,1.93507,900,1
1000,0.001,999,2.564283,2.596511,2.500477,997,1
0,0.008,0,1.2e-05,6e-06,6e-06,0,1
100,0.008,80,0.07358,0.073673,0.042232,96,1
200,0.008,319,0.153061,0.155073,0.142082,145,1
300,0.008,717,0.508827,0.491552,0.473109,59,1
400,0.008,1279,1.147322,1.095889,1.180439,37,1
500,0.008,1995,2.117555,2.072744,2.066434,17,1
600,0.008,2872,3.633508,3.594553,3.587523,6,1
700,0.008,3904,5.589345,5.596675,5.536054,8,1
800,0.008,5097,8.221016,8.177478,8.186265,9,1
900,0.008,6448,11.70588,11.468478,11.279238,2,1
1000,0.008,7963,15.637972,15.579813,15.466145,2,1
