vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
100,0.0,0,0.005653,0.005533,0.005335,100,1
100,0.010101,101,0.024712,0.028359,0.028065,96,1
100,0.020202,200,0.048088,0.048199,0.048177,41,1
100,0.030303,297,0.066904,0.067081,0.066668,12,1
100,0.040404,394,0.086767,0.086095,0.086006,2,1
100,0.050505,490,0.105373,0.10324,0.089729,2,1
100,0.060606,583,0.122168,0.122567,0.119254,1,1
100,0.070707,680,0.122277,0.124774,0.140871,1,1
100,0.080808,773,0.156534,0.158428,0.156926,1,1
100,0.090909,864,0.173586,0.174159,0.171979,1,1
100,0.10101,961,0.177792,0.166048,0.170071,1,1
100,0.111111,1050,0.183988,0.208882,0.210045,1,1
100,0.121212,1141,0.228526,0.225226,0.225823,1,1
100,0.131313,1235,0.239248,0.208524,0.213661,1,1
100,0.141414,1323,0.231875,0.255029,0.252699,1,1
100,0.151515,1409,0.267546,0.273181,0.25905,1,1
100,0.161616,1493,0.250379,0.25545,0.276821,1,1
100,0.171717,1578,0.301697,0.305864,0.302214,1,1
100,0.181818,1661,0.287929,0.293211,0.28165,1,1
100,0.191919,1748,0.334927,0.333709,0.338277,1,1
100,0.20202,1832,0.311248,0.309038,0.325693,1,1
100,0.212121,1918,0.372682,0.37504,0.362538,1,1
100,0.222222,1993,0.385085,0.38679,0.376618,1,1
100,0.232323,2074,0.399257,0.393424,0.3554,1,1
100,0.242424,2159,0.38345,0.413888,0.408213,1,1
100,0.252525,2244,0.417531,0.388463,0.42229,1,1
100,0.262626,2326,0.435306,0.426059,0.382168,1,1
100,0.272727,2408,0.42123,0.443886,0.450035,1,1
100,0.282828,2479,0.4433,0.418986,0.433803,1,1
100,0.292929,2555,0.471579,0.465287,0.414843,1,1
100,0.30303,2629,0.45024,0.485506,0.485112,1,1
100,0.313131,2699,0.45689,0.472413,0.501108,1,1
100,0.323232,2774,0.506759,0.458553,0.471837,1,1
100,0.333333,2856,0.524392,0.504327,0.459628,1,1
100,0.343434,2927,0.529015,0.541481,0.509649,1,1
100,0.353535,2999,0.532082,0.568468,0.559056,1,1
100,0.363636,3071,0.497132,0.536981,0.557946,1,1
100,0.373737,3139,0.570301,0.544647,0.587262,1,1
100,0.383838,3207,0.59349,0.556997,0.588397,1,1
100,0.393939,3268,0.593056,0.565739,0.585635,1,1
100,0.40404,3327,0.62166,0.589703,0.605545,1,1
100,0.414141,3399,0.637549,0.621695,0.596329,1,1
100,0.424242,3463,0.651412,0.607475,0.622145,1,1
100,0.434343,3533,0.66043,0.625563,0.630271,1,1
100,0.444444,3603,0.675658,0.632567,0.627813,1,1
100,0.454545,3665,0.693587,0.666636,0.680417,1,1
100,0.464646,3730,0.699105,0.653192,0.66302,1,1
100,0.474747,3796,0.700021,0.642932,0.697788,1,1
100,0.484848,3861,0.693393,0.654434,0.718663,1,1
100,0.494949,3920,0.681941,0.704649,0.727422,1,1
100,0.505051,3977,0.687445,0.714682,0.71942,1,1
100,0.515152,4042,0.701437,0.741564,0.702621,1,1
100,0.525253,4090,0.739057,0.750816,0.691444,1,1
100,0.535354,4139,0.752793,0.744129,0.687593,1,1
100,0.545455,4203,0.77715,0.717506,0.730842,1,1
100,0.555556,4260,0.770229,0.696054,0.774701,1,1
100,0.565657,4329,0.749052,0.744878,0.78833,1,1
100,0.575758,4379,0.71101,0.799186,0.799677,1,1
100,0.585859,4434,0.768764,0.803475,0.712257,1,1
100,0.59596,4496,0.819019,0.750926,0.78141,1,1
100,0.606061,4547,0.802901,0.744791,0.830294,1,1
100,0.616162,4604,0.752628,0.823626,0.805707,1,1
100,0.626263,4654,0.79566,0.839851,0.793742,1,1
100,0.636364,4705,0.844179,0.786377,0.829756,1,1
100,0.646465,4772,0.830952,0.810802,0.850028,1,1
100,0.656566,4820,0.783915,0.843952,0.781075,1,1
100,0.666667,4876,0.86603,0.81849,0.808227,1,1
100,0.676768,4930,0.861292,0.807993,0.870892,1,1
100,0.686869,4976,0.842232,0.894069,0.820108,1,1
100,0.69697,5023,0.879306,0.846352,0.862549,1,1
100,0.707071,5082,0.858487,0.840005,0.905813,1,1
100,0.717172,5135,0.849968,0.926446,0.869326,1,1
100,0.727273,5186,0.933097,0.84113,0.918908,1,1
100,0.737374,5234,0.853371,0.904335,0.868454,1,1
100,0.747475,5277,0.898358,0.8874,0.880267,1,1
100,0.757576,5324,0.922355,0.921025,0.948129,1,1
100,0.767677,5364,0.913556,0.913344,0.913771,1,1
100,0.777778,5405,0.936744,0.89688,0.946009,1,1
100,0.787879,5460,0.878311,0.942401,0.88131,1,1
100,0.79798,5509,0.955887,0.878539,0.953944,1,1
100,0.808081,5555,0.87903,0.962391,0.888657,1,1
100,0.818182,5598,0.971256,0.932489,0.968971,1,1
100,0.828283,5639,0.898301,0.966863,0.912565,1,1
100,0.838384,5685,0.977244,0.913614,0.973647,1,1
100,0.848485,5725,0.923277,0.995671,0.947509,1,1
100,0.858586,5768,1.005255,0.969254,1.003658,1,1
100,0.868687,5810,0.951728,1.010546,0.940184,1,1
100,0.878788,5855,1.03732,1.005978,1.036076,1,1
100,0.888889,5891,1.002663,1.017538,1.001565,1,1
100,0.89899,5926,1.007943,1.04255,0.995542,1,1
100,0.909091,5971,1.041055,0.955095,1.052657,1,1
100,0.919192,6016,1.019717,1.053469,1.037857,1,1
100,0.929293,6058,1.043526,1.035054,1.036655,1,1
100,0.939394,6097,1.071976,1.044151,1.069897,1,1
100,0.949495,6133,1.046552,1.077036,1.02859,1,1
100,0.959596,6175,1.083359,1.042435,1.053832,1,1
100,0.969697,6219,1.101235,1.079913,1.09708,1,1
100,0.979798,6252,1.04737,1.102921,1.076518,1,1
100,0.989899,6296,1.119361,1.111396,1.090793,1,1
100,1.0,6344,1.153817,1.080811,1.12659,1,1
200,0.0,0,0.02446,0.022313,0.026691,200,1
200,0.002513,100,0.068402,0.068964,0.068345,200,1
200,0.005025,199,0.107819,0.095518,0.108731,199,1
200,0.007538,300,0.148959,0.148165,0.149299,152,1
200,0.01005,400,0.193097,0.194453,0.191956,85,1
200,0.012563,501,0.227084,0.20038,0.207699,42,1
200,0.015075,602,0.261991,0.266224,0.269648,21,1
200,0.017588,699,0.311473,0.308038,0.299262,11,1
200,0.020101,796,0.357453,0.373478,0.36902,6,1
200,0.022613,895,0.387441,0.368642,0.346007,5,1
200,0.025126,994,0.416022,0.424512,0.422227,2,1
200,0.027638,1092,0.433129,0.427936,0.443923,1,1
200,0.030151,1189,0.499098,0.487356,0.486238,1,1
200,0.032663,1288,0.54136,0.537228,0.505837,1,1
200,0.035176,1387,0.565528,0.570339,0.560488,1,1
