vertices,percentage,edges,tarjan,nuutila,pearce,pearceNR,components,correct
10,0.0,0,2e-06,1e-06,1e-06,2e-06,10,1
10,0.111111,10,1e-06,2e-06,1e-06,2e-06,7,1
10,0.222222,19,2e-06,2e-06,2e-06,3e-06,1,1
10,0.333333,28,2e-06,2e-06,2e-06,3e-06,1,1
10,0.444444,37,3.3e-05,2e-06,2e-06,3e-06,1,1
10,0.555556,43,2e-06,2e-06,2e-06,3e-06,1,1
10,0.666667,50,2e-06,3e-06,2e-06,4e-06,1,1
10,0.777778,55,2e-06,3e-06,2e-06,3e-06,1,1
10,0.888889,58,2e-06,3e-06,2e-06,3e-06,1,1
10,10.0,90,2e-06,2e-06,2e-06,3e-06,1,1
10,1.0,58,2e-06,2e-06,2e-06,3e-06,1,1
10,10.111111,90,2e-06,2e-06,2e-06,3e-06,1,1
10,10.222222,90,2e-06,3e-06,2e-06,3e-06,1,1
10,10.333333,90,2e-06,2e-06,2e-06,3e-06,1,1
10,10.444444,90,2e-06,2e-06,2e-06,3e-06,1,1
10,10.555556,90,3e-06,3e-06,2e-06,3e-06,1,1
10,10.666667,90,2e-06,2e-06,2e-06,3e-06,1,1
10,10.777778,90,3e-06,2e-06,2e-06,3e-06,1,1
10,10.888889,90,2e-06,3e-06,2e-06,2e-06,1,1
10,11.0,90,2e-06,2e-06,2e-06,3e-06,1,1
10,11.111111,90,2e-06,2e-06,2e-06,3e-06,1,1
10,1.111111,65,2e-06,2e-06,2e-06,3e-06,1,1
10,1.222222,68,2e-06,2e-06,2e-06,3e-06,1,1
10,1.333333,70,2e-06,2e-06,2e-06,3e-06,1,1
10,1.444444,73,2e-06,3e-06,2e-06,3e-06,1,1
10,1.555556,75,2e-06,2e-06,2e-06,3e-06,1,1
10,1.666667,76,3e-06,2e-06,2e-06,3e-06,1,1
10,1.777778,77,2e-06,2e-06,2e-06,3e-06,1,1
10,1.888889,78,2e-06,2e-06,2e-06,3e-06,1,1
10,2.0,80,2e-06,2e-06,2e-06,3e-06,1,1
10,2.111111,82,2e-06,2e-06,2e-06,3e-06,1,1
10,2.222222,82,2e-06,2e-06,2e-06,2e-06,1,1
