vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
100,0.0,0,5e-06,3e-06,2e-06,100,1
100,0.00101,10,6e-06,3e-06,2e-06,100,1
100,0.00202,20,7e-06,3e-06,2e-06,100,1
100,0.00303,30,6e-06,4e-06,3e-06,100,1
100,0.00404,40,8e-06,4e-06,3e-06,100,1
100,0.005051,50,7e-06,4e-06,3e-06,100,1
100,0.006061,60,1.1e-05,7e-06,4e-06,100,1
100,0.007071,70,8e-06,5e-06,4e-06,96,1
100,0.008081,80,8e-06,5e-06,4e-06,96,1
100,0.009091,90,8e-06,5e-06,4e-06,96,1
100,0.010101,101,1e-05,6e-06,4e-06,96,1
100,0.011111,111,8e-06,5e-06,4e-06,96,1
100,0.012121,121,8e-06,5e-06,4e-06,91,1
100,0.013131,131,8e-06,5e-06,4e-06,91,1
100,0.014141,141,1.4e-05,6e-06,4e-06,76,1
100,0.015152,151,9e-06,6e-06,4e-06,68,1
100,0.016162,161,1e-05,7e-06,5e-06,57,1
100,0.017172,171,9e-06,7e-06,5e-06,52,1
100,0.018182,180,1.8e-05,1e-05,7e-06,52,1
100,0.019192,190,9e-06,7e-06,5e-06,44,1
100,0.020202,200,1e-05,6e-06,6e-06,41,1
100,0.021212,209,7e-06,7e-06,5e-06,39,1
100,0.022222,219,1.1e-05,7e-06,6e-06,37,1
100,0.023232,229,8e-06,7e-06,6e-06,27,1
100,0.024242,239,9e-06,6e-06,6e-06,22,1
100,0.025253,249,1e-05,7e-06,6e-06,19,1
100,0.026263,259,8e-06,7e-06,6e-06,15,1
100,0.027273,268,1e-05,6e-06,6e-06,14,1
100,0.028283,277,1.4e-05,9e-06,6e-06,13,1
100,0.029293,286,8e-06,7e-06,6e-06,13,1
100,0.030303,297,1.1e-05,8e-06,7e-06,12,1
100,0.031313,307,1.5e-05,9e-06,7e-06,9,1
100,0.032323,317,1.1e-05,7e-06,6e-06,6,1
100,0.033333,326,1e-05,7e-06,6e-06,5,1
100,0.034343,336,1.4e-05,1e-05,6e-06,5,1
100,0.035354,346,9e-06,7e-06,6e-06,5,1
100,0.036364,356,1.3e-05,8e-06,7e-06,4,1
100,0.037374,365,9e-06,7e-06,7e-06,2,1
100,0.038384,374,9e-06,7e-06,6e-06,2,1
100,0.039394,383,1.5e-05,7e-06,6e-06,2,1
100,0.040404,394,1.1e-05,7e-06,7e-06,2,1
100,0.041414,404,9e-06,8e-06,7e-06,2,1
100,0.042424,414,1e-05,7e-06,7e-06,2,1
100,0.043434,424,9e-06,6e-06,7e-06,2,1
100,0.044444,432,1.4e-05,8e-06,8e-06,2,1
100,0.045455,441,9e-06,7e-06,6e-06,2,1
100,0.046465,450,1e-05,7e-06,6e-06,2,1
100,0.047475,460,1.3e-05,7e-06,6e-06,2,1
100,0.048485,470,1.2e-05,8e-06,6e-06,2,1
100,0.049495,479,1.5e-05,9e-06,8e-06,2,1
100,0.050505,490,9e-06,8e-06,7e-06,2,1
100,0.051515,499,1e-05,8e-06,7e-06,2,1
100,0.052525,507,1.1e-05,8e-06,8e-06,2,1
100,0.053535,517,1e-05,9e-06,7e-06,2,1
100,0.054545,527,1.2e-05,8e-06,7e-06,2,1
100,0.055556,536,1.5e-05,9e-06,7e-06,2,1
100,0.056566,546,1.3e-05,9e-06,7e-06,2,1
100,0.057576,556,1.3e-05,8e-06,7e-06,2,1
100,0.058586,564,1e-05,8e-06,7e-06,1,1
100,0.059596,573,1.1e-05,8e-06,6e-06,1,1
100,0.060606,583,1e-05,8e-06,7e-06,1,1
100,0.061616,593,1.4e-05,8e-06,6e-06,1,1
100,0.062626,603,1.1e-05,8e-06,6e-06,1,1
100,0.063636,612,1.2e-05,9e-06,7e-06,1,1
100,0.064646,622,6.2e-05,5.5e-05,7e-06,1,1
100,0.065657,631,1.1e-05,9e-06,7e-06,1,1
100,0.066667,641,3.1e-05,1.3e-05,9e-06,1,1
100,0.067677,651,1.5e-05,9e-06,8e-06,1,1
100,0.068687,660,1.7e-05,1e-05,8e-06,1,1
100,0.069697,669,1.3e-05,9e-06,7e-06,1,1
100,0.070707,680,1.1e-05,9e-06,7e-06,1,1
100,0.071717,688,1.2e-05,8e-06,6e-06,1,1
100,0.072727,698,1.8e-05,9e-06,7e-06,1,1
100,0.073737,707,1.6e-05,9e-06,8e-06,1,1
100,0.074747,716,1.6e-05,9e-06,7e-06,1,1
100,0.075758,726,1.7e-05,1e-05,8e-06,1,1
100,0.076768,735,2.2e-05,1.3e-05,8e-06,1,1
100,0.077778,744,1e-05,9e-06,7e-06,1,1
100,0.078788,754,1.1e-05,8e-06,7e-06,1,1
100,0.079798,763,1.6e-05,9e-06,7e-06,1,1
100,0.080808,773,1.6e-05,1e-05,9e-06,1,1
100,0.081818,782,1.4e-05,9e-06,7e-06,1,1
100,0.082828,791,1.1e-05,9e-06,7e-06,1,1
100,0.083838,801,1.1e-05,9e-06,7e-06,1,1
100,0.084848,811,1.2e-05,9e-06,7e-06,1,1
100,0.085859,821,1.6e-05,1e-05,8e-06,1,1
100,0.086869,829,2.4e-05,1.4e-05,9e-06,1,1
100,0.087879,838,1.2e-05,9e-06,7e-06,1,1
100,0.088889,846,1.1e-05,9e-06,8e-06,1,1
100,0.089899,855,1.3e-05,9e-06,7e-06,1,1
100,0.090909,864,1.8e-05,1e-05,8e-06,1,1
100,0.091919,874,1.1e-05,9e-06,7e-06,1,1
100,0.092929,884,1.1e-05,9e-06,7e-06,1,1
100,0.093939,893,1.9e-05,1e-05,8e-06,1,1
100,0.094949,901,1.4e-05,9e-06,7e-06,1,1
100,0.09596,910,1.1e-05,1e-05,7e-06,1,1
100,0.09697,920,1.2e-05,9e-06,8e-06,1,1
100,0.09798,930,1.5e-05,1e-05,8e-06,1,1
100,0.09899,940,1.3e-05,1e-05,8e-06,1,1
100,0.1,951,1.4e-05,1e-05,7e-06,1,1
100,0.10101,961,1.6e-05,1e-05,7e-06,1,1
100,0.10202,971,1.3e-05,1e-05,8e-06,1,1
100,0.10303,979,1.2e-05,1.1e-05,7e-06,1,1
100,0.10404,987,2e-05,1e-05,7e-06,1,1
100,0.105051,995,1.2e-05,1e-05,8e-06,1,1
100,0.106061,1003,1.7e-05,1.1e-05,9e-06,1,1
100,0.107071,1012,1.4e-05,1e-05,7e-06,1,1
100,0.108081,1022,1.2e-05,1e-05,7e-06,1,1
100,0.109091,1032,1.6e-05,1e-05,7e-06,1,1
100,0.110101,1041,1.3e-05,1e-05,7e-06,1,1
100,0.111111,1050,2.3e-05,1.7e-05,9e-06,1,1
100,0.112121,1060,1.4e-05,1.1e-05,9e-06,1,1
100,0.113131,1069,2.6e-05,1.5e-05,8e-06,1,1
100,0.114141,1078,2.1e-05,1.3e-05,1e-05,1,1
100,0.115152,1087,2.2e-05,1.2e-05,9e-06,1,1
